"order";"family";"feature";"data_set";"tolerance";"case_def"
48;"Diagnostics-resegmented ROI";"Int. mask dimension y";"case_3";0.7;"B"
48;"Diagnostics-resegmented ROI";"Int. mask dimension y";"case_4";0;"B"
48;"Diagnostics-resegmented ROI";"Int. mask dimension y";"case_5";0.7;"B"
49;"Diagnostics-resegmented ROI";"Int. mask dimension z";"case_1";0;"B"
49;"Diagnostics-resegmented ROI";"Int. mask dimension z";"case_2";0;"B"
49;"Diagnostics-resegmented ROI";"Int. mask dimension z";"case_3";0;"B"
49;"Diagnostics-resegmented ROI";"Int. mask dimension z";"case_4";0;"B"
49;"Diagnostics-resegmented ROI";"Int. mask dimension z";"case_5";0;"B"
50;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension x";"case_1";0.15;"B"
50;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension x";"case_2";0.15;"B"
50;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension x";"case_3";0.15;"B"
50;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension x";"case_4";0;"B"
50;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension x";"case_5";0.15;"B"
51;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension y";"case_1";0.15;"B"
51;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension y";"case_2";0.2;"B"
51;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension y";"case_3";0.1625;"B"
51;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension y";"case_4";0;"B"
51;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension y";"case_5";0.1625;"B"
52;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension z";"case_1";0;"B"
52;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension z";"case_2";0;"B"
52;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension z";"case_3";0.2;"B"
52;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension z";"case_4";0;"B"
52;"Diagnostics-resegmented ROI";"Int. mask bounding box dimension z";"case_5";0.2;"B"
53;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension x";"case_1";0.15;"B"
53;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension x";"case_2";0.15;"B"
53;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension x";"case_3";0.15;"B"
53;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension x";"case_4";0;"B"
53;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension x";"case_5";0.15;"B"
54;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension y";"case_1";0.15;"B"
54;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension y";"case_2";0.2;"B"
54;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension y";"case_3";0.1625;"B"
54;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension y";"case_4";0;"B"
54;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension y";"case_5";0.1625;"B"
55;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension z";"case_1";0;"B"
55;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension z";"case_2";0;"B"
55;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension z";"case_3";0.2;"B"
55;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension z";"case_4";0;"B"
55;"Diagnostics-resegmented ROI";"Morph. mask bounding box dimension z";"case_5";0.2;"B"
56;"Diagnostics-resegmented ROI";"Int. mask voxel count";"case_1";210.325;"B"
56;"Diagnostics-resegmented ROI";"Int. mask voxel count";"case_2";209.8;"B"
