"order";"family";"feature";"data_set";"tolerance"
36;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension x";"case_1";0.1
36;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension x";"case_2";0.1
36;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension x";"case_3";0.1
36;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension x";"case_4";0.1
36;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension x";"case_5";0.1
37;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension y";"case_1";0.15
37;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension y";"case_2";0.15
37;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension y";"case_3";0.15
37;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension y";"case_4";0.15
37;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension y";"case_5";0.15
38;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension z";"case_1";0
38;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension z";"case_2";0
38;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension z";"case_3";0
38;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension z";"case_4";0
38;"Diagnostics-interpolated ROI";"Int. mask bounding box dimension z";"case_5";0
39;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension x";"case_1";0.1
39;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension x";"case_2";0.1
39;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension x";"case_3";0.1
39;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension x";"case_4";0.1
39;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension x";"case_5";0.1
40;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension y";"case_1";0.15
40;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension y";"case_2";0.15
40;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension y";"case_3";0.15
40;"Diagnostics-interpolated ROI";"Morph. mask bounding box dimension y";"case_4";0.15
